LSTM Dimensionality,Dense Dimensionality,Dense Layers,MAE,RMSE
72,10,1,150.00316203519657,311.3824959588955
72,10,4,152.83619514397816,302.296498760777
72,10,8,155.7072319998502,305.04783003854305
72,50,1,149.73466379171276,308.1449144571395
72,50,4,162.6488623154902,306.6454725296001
72,50,8,149.55024309636568,302.3765169963104
72,100,1,148.17427040482693,311.5328260110422
72,100,4,146.1049301462539,296.25584906115483
72,100,8,152.61349802382927,305.73582151578916
144,10,1,163.40913935748526,332.47446479888185
144,10,4,149.60242005294754,314.3482422002436
144,10,8,144.600594579646,302.04943694319155
144,50,1,148.68405646490137,300.1569832977705
144,50,4,150.93152926734766,301.04743746765587
144,50,8,149.14056648546966,302.76547648351567
144,100,1,145.94934352098312,296.7149820948078
144,100,4,157.06257210790582,299.7141223760352
144,100,8,155.24984633184113,307.6649740327611
